title,team,location,city,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,country,url,description_short,description,country_code,department,level,region,primary_location,all_locations,employment_type,job_type,program_and_platform,unique_skills,featured,is_pipeline,portal_id,status_id,status_name,other_levels,updated_date
"Account Partner, Eats SMB (Sales Plan)",Sales - Account Management,"Santiago, Chile",Santiago,2026-07-10,301447,uber,2026-07-12,2026-07-13,0.3204,Chile,https://www.uber.com/global/en/careers/list/301447/,,,CHL,Sales - Account Management,2,,"Santiago, Chile","Santiago, Chile",,,,,False,False,EXTERNAL,27,Posted,,2026-07-10
"Account Representative, Eats SMB INT (Sales Plan)",Sales - Sales,"Santiago, Chile",Santiago,2026-07-10,301449,uber,2026-07-12,2026-07-13,0.3616,Chile,https://www.uber.com/global/en/careers/list/301449/,,,CHL,Sales - Sales,2,,"Santiago, Chile","Santiago, Chile",,,,,False,False,EXTERNAL,27,Posted,,2026-07-10
Marketplace Abuse Lead,Operations - Business Operations,"Santiago, Chile",Santiago,2026-06-27,160370,uber,2026-07-12,2026-07-13,0.2876,Chile,https://www.uber.com/global/en/careers/list/160370/,,,CHL,Operations - Business Operations,4,,"Santiago, Chile","Santiago, Chile",,,,,False,False,EXTERNAL,27,Posted,,2026-07-10
Account Manager SMB G&R,Sales - Account Management,"Santiago, Chile",Santiago,2026-06-19,155619,uber,2026-07-12,2026-07-13,0.2936,Chile,https://www.uber.com/global/en/careers/list/155619/,,,CHL,Sales - Account Management,2,,"Santiago, Chile","Santiago, Chile",,,,,False,False,EXTERNAL,27,Posted,,2026-07-08
Senior account Manager Global,Sales - Account Management,"Santiago, Chile",Santiago,2026-06-19,152648,uber,2026-07-12,2026-07-13,0.3248,Chile,https://www.uber.com/global/en/careers/list/152648/,,,CHL,Sales - Account Management,3,,"Santiago, Chile","Santiago, Chile",,,,,False,False,EXTERNAL,27,Posted,,2026-07-10
Groceries & Retail Growth Operations Manager,Operations - Business Operations,"Santiago, Chile",Santiago,2026-06-19,159475,uber,2026-07-12,2026-07-13,0.4061,Chile,https://www.uber.com/global/en/careers/list/159475/,,,CHL,Operations - Business Operations,3,,"Santiago, Chile","Santiago, Chile",,,,,False,False,EXTERNAL,27,Posted,,2026-07-10
"SMB Account Executive, Uber for Business",Sales - Sales,"Santiago, Chile",Santiago,2026-06-19,159023,uber,2026-07-12,2026-07-13,0.283,Chile,https://www.uber.com/global/en/careers/list/159023/,,,CHL,Sales - Sales,2,,"Santiago, Chile","Santiago, Chile",,,,,False,False,EXTERNAL,27,Posted,,2026-07-09
Customer Success Coordinator,Sales - Sales,"Santiago, Chile",Santiago,2026-06-19,153253,uber,2026-07-12,2026-07-13,0.3249,Chile,https://www.uber.com/global/en/careers/list/153253/,,,CHL,Sales - Sales,2,,"Santiago, Chile","Santiago, Chile",,,,,False,False,EXTERNAL,27,Posted,,2026-07-08
Sales Representative - SMB,Sales - Sales,"Santiago, Chile",Santiago,2026-06-19,157617,uber,2026-07-12,2026-07-13,0.3216,Chile,https://www.uber.com/global/en/careers/list/157617/,,,CHL,Sales - Sales,2,,"Santiago, Chile","Santiago, Chile",,,,,False,False,EXTERNAL,27,Posted,,2026-07-06
"Enterprise, New Business Account Executive, Uber for Business",Sales - Sales,"Santiago, Chile",Santiago,2026-06-19,159036,uber,2026-07-12,2026-07-13,0.3092,Chile,https://www.uber.com/global/en/careers/list/159036/,,,CHL,Sales - Sales,4,,"Santiago, Chile","Santiago, Chile",,,,,False,False,EXTERNAL,27,Posted,,2026-07-07
